Sort Algorithm,input Size,Time Taken
Insertion Sort,100,0.00629425048828125
Merge Sort,100,0.05841255187988281
Quick Sort,100,0.0779867172241211
Modified Quick Sort,100,0.010204315185546875
Insertion Sort,500,0.012707710266113281
Merge Sort,500,0.21259784698486328
Quick Sort,500,1.2135982513427734
Modified Quick Sort,500,0.045990943908691406
Insertion Sort,1000,0.02079010009765625
Merge Sort,1000,0.3782033920288086
Quick Sort,1000,4.921102523803711
Modified Quick Sort,1000,0.19788742065429688
Insertion Sort,2000,0.035309791564941406
Merge Sort,2000,0.7704973220825195
Quick Sort,2000,20.139598846435547
Modified Quick Sort,2000,0.23221969604492188
Insertion Sort,5000,0.10530948638916016
Merge Sort,5000,2.234005928039551
Quick Sort,5000,121.69690132141113
Modified Quick Sort,5000,0.6951093673706055
Insertion Sort,10000,0.21221637725830078
Merge Sort,10000,4.5063018798828125
Quick Sort,10000,456.08439445495605
Modified Quick Sort,10000,1.430201530456543
Insertion Sort,15000,0.33729076385498047
Merge Sort,15000,7.511615753173828
Quick Sort,15000,1039.4335985183716
Modified Quick Sort,15000,2.1479129791259766
Insertion Sort,20000,0.4270792007446289
Merge Sort,20000,9.30178165435791
Quick Sort,20000,1987.8217935562134
Modified Quick Sort,20000,3.174591064453125
